Order_ID,Order_Date,Region,Sales_Channel,Customer_Segment,Category,Product,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Profit_Margin_%,Payment_Method,Salesperson
ORD-00780,2023-01-02,South,Wholesale,Corporate,Electronics,Headphones,5,1679.57,8.3,7700.83,5963.97,1736.86,22.55,Bank Transfer,Salesperson 05
ORD-00560,2023-01-02,East,Retail Store,Government,Home Appliances,Air Conditioner,13,274.16,16.3,2983.08,2381.34,601.75,20.17,Card,Salesperson 04
ORD-04412,2023-01-02,South,Retail Store,Government,Electronics,Monitor,12,1248.02,9.7,13523.52,7579.58,5943.94,43.95,Mobile Money,Salesperson 10
ORD-00295,2023-01-02,South,Wholesale,Government,Home Appliances,Fan,5,507.62,7.9,2337.6,1341.73,995.87,42.6,Card,Salesperson 12
ORD-03722,2023-01-02,West,Wholesale,Consumer,Furniture,Sofa,12,795.02,6.9,8881.92,6573.95,2307.97,25.99,Mobile Money,Salesperson 06
ORD-02946,2023-01-02,West,Corporate,Government,Furniture,Sofa,2,805.88,12.1,1416.73,817.99,598.74,42.26,Cash,Salesperson 03
ORD-06714,2023-01-02,North,Retail Store,Government,Electronics,Smartphone,15,327.38,18.8,3987.48,2693.23,1294.25,32.46,Cash,Salesperson 06
ORD-07550,2023-01-02,West,Wholesale,Small Business,Clothing,Jacket,13,231.2,22.2,2338.37,1783.82,554.55,23.72,Cash,Salesperson 11
ORD-03921,2023-01-02,West,Retail Store,Small Business,Electronics,Smartphone,8,1430.67,22.4,8881.59,6588.1,2293.49,25.82,Mobile Money,Salesperson 11
ORD-06491,2023-01-02,East,Wholesale,Government,Clothing,Jacket,13,75.84,20.9,779.86,496.5,283.37,36.34,Bank Transfer,Salesperson 12
ORD-07410,2023-01-02,West,Online,Government,Furniture,Office Chair,2,536.75,9.2,974.74,607.1,367.64,37.72,Cash,Salesperson 08
ORD-04108,2023-01-02,West,Wholesale,Corporate,Office Supplies,Notebook,1,14.09,20.9,11.14,8.25,2.89,25.98,Card,Salesperson 18
ORD-06196,2023-01-02,East,Wholesale,Small Business,Electronics,Monitor,5,804.98,20.7,3191.76,2208.48,983.28,30.81,Card,Salesperson 19
ORD-06018,2023-01-02,West,Online,Government,Home Appliances,Air Conditioner,10,1193.84,5.8,11246.02,7454.35,3791.67,33.72,Mobile Money,Salesperson 06
ORD-09563,2023-01-02,North,Online,Small Business,Clothing,Jacket,9,316.62,14.5,2436.37,1968.58,467.8,19.2,Bank Transfer,Salesperson 19
ORD-03064,2023-01-02,West,Retail Store,Small Business,Clothing,Trousers,10,249.79,6.5,2335.58,1622.63,712.95,30.53,Card,Salesperson 11
ORD-06963,2023-01-03,East,Corporate,Consumer,Clothing,Jacket,9,26.04,22.1,182.56,136.59,45.97,25.18,Cash,Salesperson 01
ORD-04564,2023-01-03,South,Online,Corporate,Furniture,Desk,5,90.42,18.3,369.35,252.5,116.85,31.64,Cash,Salesperson 18
ORD-06926,2023-01-03,South,Online,Consumer,Electronics,Smartphone,5,877.21,1.6,4315.89,3238.43,1077.46,24.96,Mobile Money,Salesperson 10
ORD-09053,2023-01-03,West,Online,Corporate,Electronics,Laptop,14,911.27,24.1,9683.16,5593.48,4089.68,42.23,Bank Transfer,Salesperson 14
ORD-06739,2023-01-03,West,Corporate,Small Business,Office Supplies,Printer Paper,1,89.01,17.6,73.35,59.46,13.88,18.93,Card,Salesperson 04
ORD-05668,2023-01-03,North,Retail Store,Consumer,Electronics,Headphones,2,1712.93,24.5,2586.52,1827.55,758.97,29.34,Card,Salesperson 09
ORD-09105,2023-01-03,West,Retail Store,Government,Electronics,Laptop,4,570.97,24.8,1717.47,955.66,761.81,44.36,Bank Transfer,Salesperson 17
ORD-04606,2023-01-03,North,Corporate,Government,Home Appliances,Blender,6,1081.1,7.9,5974.17,4756.27,1217.91,20.39,Mobile Money,Salesperson 01
ORD-00620,2023-01-03,East,Online,Consumer,Home Appliances,Air Conditioner,5,709.69,14.2,3044.55,1812.1,1232.45,40.48,Card,Salesperson 02
ORD-03368,2023-01-04,South,Wholesale,Government,Home Appliances,Fan,11,1353.03,17.7,12248.97,7029.55,5219.41,42.61,Card,Salesperson 15
ORD-08909,2023-01-04,North,Online,Small Business,Clothing,Sneakers,4,71.9,23.5,220.02,134.81,85.2,38.73,Cash,Salesperson 14
ORD-08254,2023-01-04,East,Online,Consumer,Furniture,Office Chair,9,55.24,12.0,437.47,312.86,124.62,28.49,Bank Transfer,Salesperson 15
ORD-04587,2023-01-04,West,Online,Consumer,Electronics,Smartphone,14,1662.27,6.0,21875.42,13945.06,7930.36,36.25,Cash,Salesperson 19
ORD-02767,2023-01-04,North,Wholesale,Consumer,Furniture,Bookshelf,1,83.12,7.2,77.14,53.93,23.21,30.08,Mobile Money,Salesperson 13
ORD-06689,2023-01-04,North,Wholesale,Consumer,Electronics,Headphones,11,1058.29,1.4,11478.18,7028.64,4449.54,38.77,Bank Transfer,Salesperson 19
ORD-04547,2023-01-04,North,Retail Store,Small Business,Furniture,Filing Cabinet,5,654.9,1.9,3212.3,2100.65,1111.65,34.61,Cash,Salesperson 07
ORD-01298,2023-01-04,West,Online,Small Business,Office Supplies,Printer Paper,15,120.27,5.7,1701.16,1067.46,633.69,37.25,Mobile Money,Salesperson 07
ORD-09153,2023-01-04,North,Retail Store,Corporate,Furniture,Filing Cabinet,6,207.25,6.2,1166.41,937.48,228.93,19.63,Bank Transfer,Salesperson 12
ORD-01616,2023-01-04,East,Online,Corporate,Home Appliances,Fan,14,858.32,22.2,9348.77,7601.6,1747.17,18.69,Bank Transfer,Salesperson 07
ORD-05405,2023-01-04,East,Wholesale,Corporate,Home Appliances,Air Conditioner,9,879.53,22.2,6158.47,3981.45,2177.02,35.35,Mobile Money,Salesperson 11
ORD-02452,2023-01-04,South,Wholesale,Government,Furniture,Office Chair,2,300.26,14.7,512.24,405.12,107.12,20.91,Card,Salesperson 08
ORD-08134,2023-01-05,North,Retail Store,Government,Clothing,Jacket,14,265.27,19.5,2989.63,1725.48,1264.15,42.28,Card,Salesperson 12
ORD-00279,2023-01-05,South,Online,Corporate,Office Supplies,Notebook,15,20.14,9.4,273.7,188.22,85.48,31.23,Bank Transfer,Salesperson 10
ORD-09680,2023-01-05,East,Retail Store,Consumer,Office Supplies,Printer Paper,9,120.89,23.7,830.18,495.18,334.99,40.35,Cash,Salesperson 02
ORD-08841,2023-01-05,West,Corporate,Government,Home Appliances,Fan,12,706.74,23.0,6530.28,4617.88,1912.4,29.29,Card,Salesperson 02
ORD-00517,2023-01-05,West,Corporate,Government,Furniture,Desk,14,89.58,5.3,1187.71,859.04,328.67,27.67,Bank Transfer,Salesperson 19
ORD-08623,2023-01-05,West,Online,Consumer,Clothing,Dress,9,245.79,16.9,1838.29,1327.74,510.55,27.77,Card,Salesperson 02
ORD-04792,2023-01-05,South,Wholesale,Consumer,Electronics,Smartphone,5,1289.84,21.5,5062.62,4070.71,991.91,19.59,Cash,Salesperson 20
ORD-02492,2023-01-05,East,Retail Store,Government,Clothing,Trousers,2,178.7,8.9,325.6,233.89,91.71,28.17,Mobile Money,Salesperson 13
ORD-09352,2023-01-05,North,Online,Consumer,Home Appliances,Fan,7,618.42,11.1,3848.44,3088.31,760.13,19.75,Mobile Money,Salesperson 09
ORD-04071,2023-01-06,West,Online,Corporate,Office Supplies,Stapler,14,86.96,23.3,933.73,575.21,358.52,38.4,Cash,Salesperson 12
ORD-09114,2023-01-06,East,Corporate,Government,Clothing,Shirt,4,40.41,13.2,140.3,85.01,55.29,39.41,Card,Salesperson 11
ORD-09156,2023-01-06,South,Corporate,Consumer,Office Supplies,Pen Set,14,69.35,13.8,836.86,472.28,364.58,43.57,Card,Salesperson 11
ORD-04656,2023-01-06,North,Retail Store,Corporate,Home Appliances,Refrigerator,1,1133.57,10.8,1011.15,583.89,427.25,42.25,Cash,Salesperson 17
ORD-01426,2023-01-06,East,Online,Small Business,Furniture,Sofa,13,434.61,23.1,4344.84,2870.78,1474.06,33.93,Bank Transfer,Salesperson 20
ORD-04010,2023-01-06,South,Corporate,Corporate,Home Appliances,Air Conditioner,4,85.9,1.2,339.48,212.06,127.42,37.53,Mobile Money,Salesperson 03
ORD-01737,2023-01-06,North,Retail Store,Corporate,Home Appliances,Blender,12,498.09,1.9,5863.49,4556.37,1307.11,22.29,Bank Transfer,Salesperson 12
ORD-08727,2023-01-06,North,Wholesale,Consumer,Electronics,Smartphone,6,1450.95,5.9,8192.08,5895.53,2296.55,28.03,Mobile Money,Salesperson 03
ORD-03266,2023-01-06,North,Online,Small Business,Home Appliances,Air Conditioner,10,1086.18,5.5,10264.4,6002.23,4262.18,41.52,Card,Salesperson 14
ORD-00286,2023-01-06,West,Online,Consumer,Clothing,Trousers,8,115.23,18.8,748.54,483.51,265.03,35.41,Bank Transfer,Salesperson 14
ORD-05452,2023-01-06,East,Retail Store,Small Business,Office Supplies,Stapler,15,18.2,3.1,264.53,161.67,102.85,38.88,Bank Transfer,Salesperson 02
ORD-00235,2023-01-06,North,Retail Store,Government,Electronics,Headphones,1,1084.34,4.4,1036.63,651.49,385.14,37.15,Bank Transfer,Salesperson 13
ORD-02852,2023-01-06,South,Corporate,Consumer,Furniture,Desk,15,838.85,0.2,12557.52,7905.48,4652.05,37.05,Mobile Money,Salesperson 11
ORD-08236,2023-01-06,North,Online,Small Business,Home Appliances,Air Conditioner,2,908.98,13.4,1574.35,1227.99,346.36,22.0,Cash,Salesperson 01
ORD-06613,2023-01-07,East,Wholesale,Small Business,Furniture,Filing Cabinet,14,682.25,13.3,8281.13,5034.29,3246.84,39.21,Card,Salesperson 12
ORD-09799,2023-01-07,East,Wholesale,Consumer,Home Appliances,Fan,15,1042.66,7.5,14466.85,9549.63,4917.21,33.99,Bank Transfer,Salesperson 13
ORD-05039,2023-01-07,South,Retail Store,Small Business,Home Appliances,Microwave,10,124.48,21.2,980.91,598.78,382.12,38.96,Bank Transfer,Salesperson 02
ORD-08666,2023-01-07,East,Corporate,Government,Furniture,Desk,11,229.57,10.6,2257.61,1724.13,533.48,23.63,Bank Transfer,Salesperson 04
ORD-01598,2023-01-07,East,Retail Store,Corporate,Office Supplies,Notebook,1,36.13,13.2,31.36,20.91,10.46,33.34,Card,Salesperson 20
ORD-03139,2023-01-07,North,Online,Consumer,Office Supplies,Marker,4,86.71,20.1,277.12,214.79,62.33,22.49,Bank Transfer,Salesperson 08
ORD-07621,2023-01-07,South,Online,Small Business,Electronics,Monitor,8,813.79,19.7,5227.76,3108.71,2119.05,40.53,Card,Salesperson 03
ORD-04525,2023-01-08,South,Online,Consumer,Electronics,Tablet,15,294.75,6.3,4142.74,2372.63,1770.1,42.73,Cash,Salesperson 10
ORD-00065,2023-01-08,West,Retail Store,Corporate,Furniture,Sofa,2,472.98,7.5,875.01,546.18,328.83,37.58,Mobile Money,Salesperson 13
ORD-09401,2023-01-08,West,Wholesale,Small Business,Office Supplies,Stapler,11,142.85,9.8,1417.33,834.86,582.47,41.1,Card,Salesperson 06
ORD-08569,2023-01-08,East,Retail Store,Small Business,Office Supplies,Printer Paper,11,41.45,23.4,349.25,253.95,95.3,27.29,Mobile Money,Salesperson 05
ORD-09440,2023-01-08,East,Corporate,Corporate,Electronics,Smartphone,4,1272.03,15.4,4304.54,3359.83,944.71,21.95,Mobile Money,Salesperson 13
ORD-02278,2023-01-08,East,Online,Small Business,Electronics,Monitor,10,1333.52,13.9,11481.58,8986.65,2494.94,21.73,Card,Salesperson 18
ORD-04526,2023-01-08,North,Retail Store,Small Business,Clothing,Sneakers,9,296.73,4.9,2539.75,1480.93,1058.81,41.69,Cash,Salesperson 08
ORD-05995,2023-01-08,East,Wholesale,Small Business,Furniture,Office Chair,15,207.94,8.7,2847.8,2265.82,581.98,20.44,Cash,Salesperson 12
ORD-07560,2023-01-08,North,Retail Store,Government,Clothing,Dress,4,166.44,23.3,510.62,396.88,113.74,22.28,Card,Salesperson 19
ORD-09322,2023-01-09,East,Retail Store,Corporate,Clothing,Shirt,9,195.75,3.7,1696.59,1175.17,521.42,30.73,Cash,Salesperson 14
ORD-01649,2023-01-09,East,Retail Store,Consumer,Furniture,Desk,2,434.78,4.2,833.04,665.72,167.32,20.09,Mobile Money,Salesperson 18
ORD-07317,2023-01-09,West,Corporate,Small Business,Office Supplies,Pen Set,15,85.91,20.4,1025.73,670.57,355.15,34.62,Cash,Salesperson 20
ORD-01184,2023-01-09,North,Wholesale,Consumer,Furniture,Desk,4,696.18,1.4,2745.73,1876.32,869.41,31.66,Mobile Money,Salesperson 19
ORD-01214,2023-01-09,North,Online,Government,Home Appliances,Fan,1,1084.17,1.1,1072.24,774.76,297.49,27.74,Bank Transfer,Salesperson 12
ORD-05349,2023-01-09,North,Wholesale,Consumer,Furniture,Filing Cabinet,6,327.74,19.1,1590.86,1165.66,425.2,26.73,Cash,Salesperson 20
ORD-02423,2023-01-09,South,Retail Store,Corporate,Office Supplies,Pen Set,15,60.89,3.2,884.1,582.61,301.5,34.1,Card,Salesperson 12
ORD-00837,2023-01-09,West,Wholesale,Government,Furniture,Office Chair,12,191.25,24.2,1739.65,1179.46,560.19,32.2,Mobile Money,Salesperson 19
ORD-08697,2023-01-09,South,Retail Store,Corporate,Home Appliances,Fan,7,1351.96,7.0,8801.27,5843.91,2957.36,33.6,Bank Transfer,Salesperson 06
ORD-06830,2023-01-09,West,Corporate,Government,Furniture,Office Chair,14,136.97,21.0,1514.9,1174.58,340.32,22.47,Bank Transfer,Salesperson 09
ORD-00819,2023-01-09,East,Online,Small Business,Clothing,Jacket,14,37.64,2.2,515.36,389.57,125.79,24.41,Cash,Salesperson 06
ORD-09377,2023-01-10,South,Corporate,Consumer,Office Supplies,Marker,4,5.63,3.1,21.8,13.17,8.64,39.62,Bank Transfer,Salesperson 13
ORD-00124,2023-01-10,South,Retail Store,Corporate,Office Supplies,Notebook,7,26.33,15.9,155.0,112.26,42.74,27.58,Cash,Salesperson 13
ORD-09107,2023-01-10,East,Online,Corporate,Furniture,Office Chair,12,307.61,20.2,2945.71,2133.18,812.54,27.58,Mobile Money,Salesperson 01
ORD-09039,2023-01-10,West,Wholesale,Consumer,Furniture,Filing Cabinet,14,811.39,17.0,9428.38,5993.97,3434.41,36.43,Mobile Money,Salesperson 08
ORD-02859,2023-01-10,North,Retail Store,Government,Clothing,Dress,7,240.86,21.6,1321.81,990.27,331.54,25.08,Mobile Money,Salesperson 14
ORD-04880,2023-01-10,North,Wholesale,Corporate,Furniture,Filing Cabinet,11,463.79,24.9,3831.34,2586.59,1244.75,32.49,Cash,Salesperson 17
ORD-05569,2023-01-10,North,Corporate,Small Business,Furniture,Sofa,4,543.15,12.9,1892.32,1475.14,417.18,22.05,Mobile Money,Salesperson 06
ORD-06448,2023-01-11,East,Online,Corporate,Furniture,Bookshelf,5,275.23,2.8,1337.62,900.7,436.92,32.66,Cash,Salesperson 04
ORD-01936,2023-01-11,South,Online,Corporate,Home Appliances,Refrigerator,9,1151.04,5.5,9789.6,5810.1,3979.51,40.65,Bank Transfer,Salesperson 09
ORD-06056,2023-01-11,West,Retail Store,Consumer,Office Supplies,Printer Paper,11,18.67,13.9,176.78,141.32,35.46,20.06,Bank Transfer,Salesperson 08
ORD-05941,2023-01-11,East,Online,Consumer,Furniture,Filing Cabinet,4,866.26,18.1,2837.88,1954.13,883.75,31.14,Cash,Salesperson 09
ORD-06684,2023-01-11,North,Corporate,Corporate,Clothing,Jacket,1,194.31,4.9,184.79,135.07,49.73,26.91,Bank Transfer,Salesperson 20
ORD-07501,2023-01-11,West,Corporate,Small Business,Home Appliances,Air Conditioner,15,1236.5,0.5,18454.81,13677.72,4777.09,25.89,Mobile Money,Salesperson 01
ORD-02694,2023-01-11,West,Retail Store,Small Business,Furniture,Bookshelf,11,711.05,4.8,7446.12,4531.02,2915.1,39.15,Bank Transfer,Salesperson 08
ORD-03961,2023-01-11,West,Online,Consumer,Electronics,Laptop,14,505.43,22.3,5498.07,4212.2,1285.87,23.39,Mobile Money,Salesperson 05
ORD-08158,2023-01-11,East,Wholesale,Consumer,Furniture,Office Chair,3,375.86,7.3,1045.26,718.86,326.4,31.23,Mobile Money,Salesperson 04
ORD-04828,2023-01-11,South,Wholesale,Small Business,Office Supplies,Marker,3,22.01,8.8,60.21,33.41,26.8,44.51,Card,Salesperson 13
ORD-03089,2023-01-12,North,Online,Government,Electronics,Smartphone,14,1250.55,10.6,15651.83,11756.15,3895.67,24.89,Card,Salesperson 02
ORD-02382,2023-01-12,West,Online,Consumer,Electronics,Smartphone,1,1031.65,17.5,851.11,586.11,265.01,31.14,Mobile Money,Salesperson 17
ORD-07142,2023-01-12,South,Retail Store,Corporate,Clothing,Shirt,1,150.46,10.8,134.21,104.57,29.65,22.09,Mobile Money,Salesperson 08
ORD-00785,2023-01-12,South,Wholesale,Government,Clothing,Sneakers,15,298.95,5.5,4237.66,3167.31,1070.34,25.26,Cash,Salesperson 01
ORD-06861,2023-01-12,West,Online,Corporate,Furniture,Office Chair,4,148.06,23.4,453.66,284.1,169.56,37.38,Mobile Money,Salesperson 06
ORD-02180,2023-01-12,North,Wholesale,Corporate,Office Supplies,Notebook,12,133.35,8.6,1462.57,991.96,470.61,32.18,Mobile Money,Salesperson 04
ORD-09493,2023-01-12,South,Retail Store,Small Business,Home Appliances,Blender,4,1398.26,7.9,5151.18,3569.82,1581.36,30.7,Card,Salesperson 09
ORD-06875,2023-01-12,North,Corporate,Corporate,Furniture,Bookshelf,6,218.54,12.9,1142.08,806.17,335.91,29.41,Cash,Salesperson 12
ORD-01813,2023-01-13,West,Retail Store,Corporate,Electronics,Monitor,6,1334.76,2.5,7808.37,6200.34,1608.03,20.59,Bank Transfer,Salesperson 06
ORD-03143,2023-01-13,North,Corporate,Small Business,Office Supplies,Pen Set,12,110.87,6.2,1247.91,948.63,299.29,23.98,Bank Transfer,Salesperson 05
ORD-02794,2023-01-13,West,Online,Government,Electronics,Headphones,15,567.2,4.9,8091.05,4905.8,3185.25,39.37,Bank Transfer,Salesperson 20
ORD-02304,2023-01-13,South,Online,Corporate,Electronics,Laptop,4,890.92,11.9,3139.61,1726.87,1412.75,45.0,Card,Salesperson 16
ORD-05200,2023-01-13,East,Wholesale,Consumer,Home Appliances,Blender,5,52.91,19.3,213.49,139.36,74.13,34.72,Mobile Money,Salesperson 04
ORD-04326,2023-01-13,South,Corporate,Government,Office Supplies,Marker,14,11.75,0.7,163.36,116.84,46.52,28.48,Cash,Salesperson 18
ORD-04707,2023-01-13,North,Wholesale,Small Business,Electronics,Laptop,13,1057.82,17.6,11331.35,6317.25,5014.11,44.25,Bank Transfer,Salesperson 03
ORD-04539,2023-01-13,South,Corporate,Small Business,Office Supplies,Printer Paper,10,48.68,12.9,424.0,328.88,95.12,22.43,Mobile Money,Salesperson 08
ORD-04900,2023-01-13,North,Online,Government,Furniture,Sofa,3,312.02,15.6,790.04,445.73,344.31,43.58,Bank Transfer,Salesperson 08
ORD-09700,2023-01-13,West,Wholesale,Corporate,Home Appliances,Refrigerator,11,1044.05,5.3,10875.88,7898.62,2977.26,27.37,Mobile Money,Salesperson 19
ORD-08087,2023-01-13,East,Wholesale,Corporate,Furniture,Bookshelf,4,464.0,13.9,1598.0,1064.61,533.39,33.38,Bank Transfer,Salesperson 06
ORD-04501,2023-01-14,East,Wholesale,Consumer,Furniture,Filing Cabinet,4,295.15,5.5,1115.65,860.94,254.71,22.83,Card,Salesperson 19
ORD-05877,2023-01-14,North,Online,Corporate,Clothing,Trousers,13,194.4,16.8,2102.6,1661.4,441.21,20.98,Cash,Salesperson 12
ORD-08033,2023-01-14,East,Wholesale,Government,Furniture,Desk,8,715.01,11.8,5045.1,3798.46,1246.64,24.71,Card,Salesperson 08
ORD-06112,2023-01-14,North,Online,Small Business,Electronics,Smartphone,6,848.73,12.0,4481.31,2750.8,1730.51,38.62,Mobile Money,Salesperson 17
ORD-07331,2023-01-14,South,Retail Store,Small Business,Furniture,Filing Cabinet,4,272.62,2.8,1059.96,623.21,436.75,41.2,Cash,Salesperson 14
ORD-05558,2023-01-14,North,Wholesale,Corporate,Furniture,Desk,12,701.09,11.3,7462.45,4276.86,3185.59,42.69,Bank Transfer,Salesperson 14
ORD-06207,2023-01-14,East,Online,Small Business,Electronics,Monitor,13,909.63,24.0,8987.18,5419.41,3567.77,39.7,Mobile Money,Salesperson 10
ORD-03908,2023-01-14,East,Retail Store,Consumer,Electronics,Monitor,9,586.93,13.9,4548.12,3452.68,1095.44,24.09,Card,Salesperson 03
ORD-03268,2023-01-14,West,Online,Small Business,Home Appliances,Blender,10,993.61,21.3,7819.73,5407.49,2412.24,30.85,Bank Transfer,Salesperson 09
ORD-02925,2023-01-15,North,Wholesale,Consumer,Home Appliances,Blender,5,849.19,17.6,3498.68,2116.2,1382.48,39.51,Mobile Money,Salesperson 09
ORD-05511,2023-01-15,North,Corporate,Government,Home Appliances,Microwave,15,149.99,18.5,1833.58,1500.07,333.51,18.19,Mobile Money,Salesperson 08
ORD-06774,2023-01-15,South,Retail Store,Consumer,Clothing,Sneakers,14,118.03,18.1,1353.31,846.59,506.72,37.44,Card,Salesperson 20
ORD-09112,2023-01-15,West,Corporate,Corporate,Office Supplies,Marker,4,124.42,19.2,402.11,263.75,138.37,34.41,Card,Salesperson 08
ORD-09895,2023-01-15,West,Online,Small Business,Furniture,Sofa,14,72.68,4.7,969.75,588.74,381.02,39.29,Card,Salesperson 14
ORD-05839,2023-01-15,West,Wholesale,Government,Furniture,Desk,12,800.38,21.6,7529.96,5689.76,1840.2,24.44,Cash,Salesperson 08
ORD-03086,2023-01-15,South,Wholesale,Government,Home Appliances,Fan,15,1325.92,22.7,15374.05,10149.11,5224.95,33.99,Cash,Salesperson 01
ORD-01428,2023-01-15,East,Wholesale,Government,Office Supplies,Printer Paper,6,148.87,4.3,854.8,505.22,349.58,40.9,Card,Salesperson 13
ORD-04045,2023-01-16,North,Retail Store,Corporate,Home Appliances,Refrigerator,7,1240.97,8.5,7948.43,5204.25,2744.17,34.52,Card,Salesperson 18
ORD-06464,2023-01-16,South,Retail Store,Corporate,Clothing,Dress,10,336.17,21.2,2649.01,1570.57,1078.44,40.71,Cash,Salesperson 16
ORD-09129,2023-01-16,West,Corporate,Small Business,Home Appliances,Blender,9,96.63,19.9,696.61,486.0,210.61,30.23,Bank Transfer,Salesperson 17
ORD-00543,2023-01-16,East,Retail Store,Corporate,Furniture,Desk,4,344.13,10.1,1237.48,689.65,547.83,44.27,Card,Salesperson 10
ORD-05373,2023-01-16,East,Online,Consumer,Furniture,Desk,15,863.87,1.5,12763.63,7256.71,5506.92,43.15,Bank Transfer,Salesperson 07
ORD-01423,2023-01-16,East,Wholesale,Corporate,Clothing,Trousers,6,25.54,10.5,137.13,99.73,37.4,27.27,Bank Transfer,Salesperson 05
ORD-02100,2023-01-17,South,Wholesale,Corporate,Office Supplies,Pen Set,3,48.47,13.2,126.22,82.58,43.64,34.58,Mobile Money,Salesperson 08
ORD-05195,2023-01-17,North,Wholesale,Small Business,Home Appliances,Microwave,13,1065.94,0.9,13732.52,8732.74,4999.78,36.41,Cash,Salesperson 03
ORD-00977,2023-01-17,North,Wholesale,Government,Clothing,Trousers,13,140.12,10.6,1628.52,1095.71,532.81,32.72,Card,Salesperson 09
ORD-06490,2023-01-17,West,Retail Store,Government,Office Supplies,Stapler,1,64.26,24.1,48.78,36.76,12.02,24.64,Card,Salesperson 13
ORD-01376,2023-01-17,North,Online,Government,Furniture,Filing Cabinet,12,474.13,0.4,5666.75,4430.36,1236.39,21.82,Card,Salesperson 04
ORD-02293,2023-01-17,South,Retail Store,Small Business,Office Supplies,Stapler,8,77.2,8.6,564.45,374.2,190.25,33.7,Bank Transfer,Salesperson 04
ORD-06157,2023-01-17,East,Online,Small Business,Office Supplies,Marker,13,9.66,24.7,94.53,56.67,37.86,40.05,Bank Transfer,Salesperson 13
ORD-09868,2023-01-17,East,Retail Store,Small Business,Clothing,Trousers,7,222.77,22.5,1208.53,850.99,357.54,29.58,Mobile Money,Salesperson 20
ORD-01027,2023-01-17,East,Retail Store,Small Business,Electronics,Tablet,3,1272.99,3.3,3692.95,2345.81,1347.15,36.48,Card,Salesperson 02
ORD-03520,2023-01-18,North,Corporate,Consumer,Electronics,Laptop,5,1286.14,6.2,6032.01,4077.94,1954.07,32.39,Cash,Salesperson 10
ORD-05859,2023-01-18,North,Retail Store,Government,Office Supplies,Stapler,5,81.67,1.2,403.46,236.84,166.62,41.3,Bank Transfer,Salesperson 13
ORD-09603,2023-01-18,South,Retail Store,Consumer,Furniture,Sofa,11,93.49,6.1,965.67,666.54,299.13,30.98,Bank Transfer,Salesperson 07
ORD-03199,2023-01-18,North,Retail Store,Government,Electronics,Monitor,5,1001.99,20.9,3962.88,2240.65,1722.23,43.46,Card,Salesperson 15
ORD-08230,2023-01-18,South,Wholesale,Consumer,Clothing,Trousers,14,138.55,15.7,1635.22,1116.94,518.27,31.69,Bank Transfer,Salesperson 03
ORD-05407,2023-01-18,East,Wholesale,Government,Furniture,Desk,6,517.8,6.9,2892.43,1798.07,1094.36,37.84,Bank Transfer,Salesperson 06
ORD-02154,2023-01-18,South,Online,Corporate,Home Appliances,Fan,5,1349.25,1.3,6658.53,4777.26,1881.28,28.25,Mobile Money,Salesperson 02
ORD-09790,2023-01-18,South,Online,Consumer,Clothing,Sneakers,3,91.21,18.3,223.56,166.81,56.75,25.39,Card,Salesperson 13
